Average of cumm_rainfall,Average of temp_min,Average of temp_max,Average of humidity_min,Average of humidity_max,Average of wind_speed_min,Average of wind_speed_max,District,Average of Year,Constructed date,date,datevalue,AQI,,,,
0,14.72,31.88,29.28,84.64,0,5.5,Karimnagar,2018,01-Jan-18,01-01-2018,43101,111,,,, 
0,14.46,31.88,33.46,86.26,0,5.86,Karimnagar,2018,02-Jan-18,02-01-2018,43102,111,,,,
0,14.27,31.09,33.86,86.54,0,4.94,Karimnagar,2018,03-Jan-18,03-01-2018,43103,111,,,,
0,13.48,30.91,31.54,85.55,0,6.22,Karimnagar,2018,04-Jan-18,04-01-2018,43104,111,,,,
0,13.01,29.75,29.34,84.24,0,5.78,Karimnagar,2018,05-Jan-18,05-01-2018,43105,111,,,,
0,12.34,30.62,26.8,81.2,0,6.71,Karimnagar,2018,06-Jan-18,06-01-2018,43106,111,,,,
0,13.71,31.44,27.89,83.56,0.4,6.13,Karimnagar,2018,07-Jan-18,07-01-2018,43107,111,,,,
0,13.5,30.37,34.69,88.54,0,6.58,Karimnagar,2018,08-Jan-18,08-01-2018,43108,111,,,,
0,13.65,29.92,33.01,86.52,0,7.76,Karimnagar,2018,09-Jan-18,09-01-2018,43109,111,,,,
0,14.48,29.3,39.9,87.83,0,5.93,Karimnagar,2018,10-Jan-18,10-01-2018,43110,111,,,,
0,14.96,30.72,27.32,82.03,0,5.96,Karimnagar,2018,11-Jan-18,11-01-2018,43111,111,,,,
0,15.54,32.28,27.4,82.78,0,5.78,Karimnagar,2018,12-Jan-18,12-01-2018,43112,111,,,,
0,15.7,33.02,27.2,81.19,0,5.16,Karimnagar,2018,13-Jan-18,13-01-2018,43113,111,,,,
0,15.76,33.3,21.16,78.56,0,6.37,Karimnagar,2018,14-Jan-18,14-01-2018,43114,111,,,,
0,19.08,31.72,36.57,88.22,0,7.49,Karimnagar,2018,15-Jan-18,15-01-2018,43115,111,,,,
0,16.39,32.64,42.3,91.8,0,5.95,Karimnagar,2018,16-Jan-18,16-01-2018,43116,111,,,,
0,14.4,32.71,30.86,86.04,0,6.87,Karimnagar,2018,17-Jan-18,17-01-2018,43117,111,,,,
0,14.73,32.78,28.94,85.49,0,8.04,Karimnagar,2018,18-Jan-18,18-01-2018,43118,111,,,,
0,13.35,31.97,29.88,85.6,1.2,7.1,Karimnagar,2018,19-Jan-18,19-01-2018,43119,111,,,,
0,12.1,31.51,19.26,83.33,0.1,6.43,Karimnagar,2018,20-Jan-18,20-01-2018,43120,111,,,,
0,12.57,31.26,20.73,83.36,0,6.85,Karimnagar,2018,21-Jan-18,21-01-2018,43121,111,,,,
0,14.56,30.92,27.93,87.38,0.2,8.11,Karimnagar,2018,22-Jan-18,22-01-2018,43122,111,,,,
0,15.8,30.75,35.55,87.99,1,8.46,Karimnagar,2018,23-Jan-18,23-01-2018,43123,111,,,,
0,17.44,31.42,40.36,87.2,0.7,9.41,Karimnagar,2018,24-Jan-18,24-01-2018,43124,111,,,,
0,15.51,30.93,39.59,84.17,0,8.05,Karimnagar,2018,25-Jan-18,25-01-2018,43125,111,,,,
0,12.55,31.28,30.18,79.92,0,6.63,Karimnagar,2018,26-Jan-18,26-01-2018,43126,111,,,,
0,11.9,31.71,20.25,80.04,0,5.92,Karimnagar,2018,27-Jan-18,27-01-2018,43127,111,,,,
0,13.58,30.62,26.06,85.34,0,7.84,Karimnagar,2018,28-Jan-18,28-01-2018,43128,111,,,,
0,14.26,31.44,37.57,91.4,0,7.3,Karimnagar,2018,29-Jan-18,29-01-2018,43129,111,,,,
0,13.18,31.41,29.94,87.19,0.1,7.56,Karimnagar,2018,30-Jan-18,30-01-2018,43130,111,,,,
0,11.92,31.94,21.24,78.18,0,7.37,Karimnagar,2018,31-Jan-18,31-01-2018,43131,111,,,,
0,13.26,33.38,17.13,75.27,1.4,7.18,Karimnagar,2018,01-Feb-18,01-02-2018,43132,87,,,,
0,13.22,33.36,15.05,71.68,3.9,8.21,Karimnagar,2018,02-Feb-18,02-02-2018,43133,87,,,,
0,14.06,33.56,16.06,73.52,1.7,7.41,Karimnagar,2018,03-Feb-18,03-02-2018,43134,87,,,,
0,14.76,33.08,21.03,70.81,0.5,9.95,Karimnagar,2018,04-Feb-18,04-02-2018,43135,87,,,,
0,14.96,32.36,26.71,81.99,0,9.35,Karimnagar,2018,05-Feb-18,05-02-2018,43136,87,,,,
0,14.31,32.18,32.54,85.66,0.3,9.24,Karimnagar,2018,06-Feb-18,06-02-2018,43137,87,,,,
0,16.67,32.52,35.9,80.01,0,8.42,Karimnagar,2018,07-Feb-18,07-02-2018,43138,87,,,,
0,17.48,30.78,36.72,76.38,0,6.31,Karimnagar,2018,08-Feb-18,08-02-2018,43139,87,,,,
0,19.76,34.09,26.77,77.71,0.1,7.93,Karimnagar,2018,09-Feb-18,09-02-2018,43140,87,,,,
0,17.26,33.31,31.16,77.91,0,7.78,Karimnagar,2018,10-Feb-18,10-02-2018,43141,87,,,,
0.01,20.2,30.68,51.34,89.31,0,7.13,Karimnagar,2018,11-Feb-18,11-02-2018,43142,87,,,,
0,20.58,31.91,44.68,89.65,2.22,13.87,Karimnagar,2018,12-Feb-18,12-02-2018,43143,87,,,,
